name,ext,struct,variable,const,type,sample
HSP,hsp,mixed,none,none,script,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.hsp
Reason,re,blacket,let,none,AltJS,https://github.com/taisukef/Geo3x3/blob/master/reason/geo3x3.re
THPL,html,blacket,var,none,script,https://github.com/taisukef/Geo3x3/blob/master/Geo3x3.thpl.html
Janet,janet,blacket,var,def,script,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.janet
Phel,phel,blacket,let,def,script,https://github.com/taisukef/Geo3x3/blob/master/phel/src/geo3x3.phel
Raku,"raku,rakumod",blacket,my,none,script,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.rakumod
文言,wy,end,數,none,script,https://github.com/taisukef/Geo3x3/blob/master/Geo3x3_encode.wy
Vala,vala,blacket,var,none,compile,https://github.com/taisukef/Geo3x3/blob/master/Geo3x3.vala
SmileBASIC,prg,none,dim$%,none,compile,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.prg
Small Basic,smallbasic,none,$,none,script,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.smallbasic
Flix,flix,indent,none,let,JVM,https://github.com/taisukef/Geo3x3/blob/master/flix/src/Geo3x3.flix
PowerShell,"ps1,psm1",blacket,[type],none,script,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.psm1
Koka,kk,indent/blacket,var,val,compile,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.kk
Zig,zig,blacket,type,const,compile,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.zig
BanchaScript,bancha,blacket,var,none,AltJS,https://github.com/taisukef/Geo3x3/blob/master/Geo3x3.bancha
AssemblyScript,ts,blacket,let,const,complie,https://github.com/taisukef/Geo3x3/blob/master/asc/assembly/index.ts
Clawn,clawn,blacket,none,none,complie,https://github.com/taisukef/Geo3x3/blob/master/simple_geo3x3.clawn
FORTRAN 77,"for,f",end,type,PARAMETER,compile,https://github.com/taisukef/Geo3x3/blob/master/fortran77/
orelang,orelang,blacket,none,none,script,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.orelang
Laze,laze,blacket,type,none,compile,https://github.com/taisukef/Geo3x3/blob/master/simple_geo3x3.laze
WebAssembly,wat,blacket,type,none,compile,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.wat
Nelua,nelua,end,type,const,compile,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.nelua
Roland,rol,blacket,type,none,complie,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.rol
Rescript,res,blacket,none,none,AltJS,https://github.com/taisukef/Geo3x3/blob/master/rescript/src/Geo3x3.res
Effekt,effekt,blacket,type,all,compile,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.effekt
Ceylon,ceylon,blacket,type,value,compile,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.ceylon
Mochi,mochi.js,blacket,type,none,compile,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.mochi.js
Neko,neko,blacket,var,none,compile,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.neko
NekoML,nml,blacket,var,none,compile,https://github.com/taisukef/Geo3x3/blob/master/Geo3x3.nml
LLVM IR,ll,blacket,none,none,compile,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.ll
Mojo,mojo,indent,var,let,compile,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.mojo
Pkl,pkl,none,none,let,script,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.pkl
Jsonnet,"jsonnet,libsonnet",none,none,local,script,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.libsonnet
AppleScript,applescript,end,none,none,script,https://github.com/taisukef/Geo3x3/blob/master/geo3x3_encode.applescript
DNCL3,dncl,blacket,none,none,script,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.dncl
Wirth,wirth,end,none,none,script,https://github.com/taisukef/Geo3x3/blob/master/geo3x3.wirth
